time_s,cui_original_pit_depth_um,abaqus_ufl_diag_pit_depth_um,abaqus_ufl_minus_original_um
35.76592254638672,2.433608751744032,2.5063452474804397,0.07273649573640784
37.01592254638672,2.433608751744032,2.57304921803035,0.139440466286318
38.26592254638672,2.433608751744032,2.6397531885802605,0.20614443683622863
39.51592254638672,2.8041491750627756,2.7064571591301707,-0.0976920159326049
40.76592254638672,2.8478712774813175,2.7731611296800813,-0.07471014780123619
42.01592254638672,2.8478712774813175,2.8398651002299915,-0.008006177251326019
43.26592254638672,2.8478712774813175,2.906569070779902,0.0586977932985846
44.51592254638672,2.9303892515599728,2.9732730413298123,0.04288378976983953
45.76592254638672,2.9303892515599728,3.0399770118797225,0.1095877603197497
47.01592254638672,2.9303892515599728,3.106680982429633,0.17629173086966032
48.26592254638672,3.005099482834339,3.1733849529795437,0.16828547014520456
49.51592254638672,3.230553353205323,3.2380639497240917,0.007510596518768509
50.76592254638672,3.274403279647231,3.2906023548297205,0.01619907518248942
52.01592254638672,3.274403279647231,3.3431407599353493,0.06873748028811821
53.26592254638672,3.274403279647231,3.395679165040978,0.12127588539374701
54.51592254638672,3.355494001880288,3.448217570146607,0.09272356826631878
55.76592254638672,3.355494001880288,3.5007559752522357,0.14526197337194757
57.01592254638672,3.355494001880288,3.5532943803578645,0.19780037847757637
58.26592254638672,3.421701490879059,3.6058327854634933,0.18413129458443445
59.51592254638672,3.421701490879059,3.658371190569122,0.23666969969006324
60.76592254638672,3.421701490879059,3.710909595674751,0.28920810479569203
62.01592254638672,3.421701490879059,3.7634480007803797,0.3417465099013208
63.26592254638672,3.8558728992938995,3.8159864058860085,-0.03988649340789108
64.51592254638672,3.8558728992938995,3.8685248109916373,0.012651911697737717
65.76592254638672,3.8558728992938995,3.921063216097266,0.06519031680336651
67.01592254638672,3.9318078197538853,3.973601621202895,0.04179380144900957
68.26592254638672,3.9318078197538853,4.026140026308524,0.09433220655463881
69.51592254638672,3.9318078197538853,4.078678431414152,0.14687061166026716
70.76592254638672,3.9883828721940517,4.131216836519782,0.14283396432572992
72.01592254638672,4.240219946950674,4.18375524162541,-0.05646470532526404
73.26592254638672,4.281322006136179,4.236293646731039,-0.04502835940513972
74.51592254638672,4.281322006136179,4.288951766233399,0.007629760097220384
75.76592254638672,4.281322006136179,4.342327625194994,0.06100561905881463
77.01592254638672,4.352911841124296,4.395703484156588,0.04279164303229166
78.26592254638672,4.352911841124296,4.449079343118182,0.0961675019938859
79.51592254638672,4.403416998684406,4.502455202079776,0.09903820339537006
80.76592254638672,4.403416998684406,4.555831061041371,0.1524140623569643
82.01592254638672,4.403416998684406,4.609206920002965,0.20578992131855856
83.26592254638672,4.403416998684406,4.662582778964559,0.2591657802801528
84.51592254638672,4.824192728847265,4.715958637926153,-0.10823409092111191
85.76592254638672,4.86221956089139,4.769334496887747,-0.09288506400364316
87.01592254638672,4.86221956089139,4.822710355849341,-0.03950920504204891
88.26592254638672,4.927091766148806,4.876086214810935,-0.051005551337870436
89.51592254638672,4.927091766148806,4.929462073772529,0.0023703076237238108
90.76592254638672,4.927091766148806,4.982837932734124,0.05574616658531806
92.01592254638672,4.970645997673273,5.036213791695718,0.06556779402244484
93.26592254638672,4.970645997673273,5.089589650657312,0.11894365298403908
94.51592254638672,5.251771304756403,5.142965509618906,-0.10880579513749655
95.76592254638672,5.287847016006708,5.196341368580501,-0.09150564742620748
97.01592254638672,5.287847016006708,5.249717227542094,-0.03812978846461412
